Phrases,AJE_Total_Num_of_Stats_About_Victims,AJE_Referencing_Palestinian_Victims,AJE_Referencing_Israeli_Victims,BBC_Total_Num_of_Stats_About_Victims,BBC_Referencing_Palestinian_Victims,BBC_Referencing_Israeli_Victims,CNN_Total_Num_of_Stats_About_Victims,CNN_Referencing_Palestinian_Victims,CNN_Referencing_Israeli_Victims,NYT_Total_Num_of_Stats_About_Victims,NYT_Referencing_Palestinian_Victims,NYT_Referencing_Israeli_Victims,CD_Type
Hamas government,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-run territory,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-led authorities,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas authorities,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
controlled by Hamas,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-run health ministry,0,0,0,1,1,0,0,0,0,1,1,0,Source Doubting
Hamas-run Ministry of Health,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-run Gaza Ministry of Health,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-run Gaza Health Ministry,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-run Palestinian territory,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-controlled Gaza Strip,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-controlled government,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-controlled health authorities,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
sources in Hamas-run Gaza,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
sources in the Hamas-controlled enclave,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
which is controlled by Hamas,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
drawing from sources in Hamas-controlled Gaza,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
according to officials in the Hamas-run territory,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
according to health officials in Hamas-controlled Gaza,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
… which is part of the political arm of Hamas,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
an organization controlled by Hamas,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas said,1,1,0,1,1,0,0,0,0,0,0,0,Source Doubting
Hamas-ruled territory,1,1,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas and medical officials,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
according to a Hamas website,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-controlled Gaza,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas officials,0,0,0,3,3,0,0,0,0,1,1,0,Source Doubting
Hamas sources in Gaza,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-ruled Gaza,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas-run al-Aqsa TV reported,0,0,0,0,0,0,1,1,0,0,0,0,Source Doubting
Hamas security officials,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
Hamas Health Ministry,0,0,0,0,0,0,0,0,0,2,2,0,Source Doubting
Hamas health officials,0,0,0,0,0,0,0,0,0,1,1,0,Source Doubting
according to Hamas' military wing,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
who were not on the scene,0,0,0,0,0,0,0,0,0,0,0,0,Source Doubting
reportedly,3,3,0,1,0,1,2,2,0,0,0,0,Uncertainty in Numbers
allegedly,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
said to be,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
was reported to have,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
said to have been wounded,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
said to have been killed,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
are thought to have been killed,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
no reliable and current figures,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
difficult to know how many,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
claim,0,0,0,0,0,0,0,0,0,0,0,0,Uncertainty in Numbers
