,Source,Side,Hardship,Instance_Count
7,Al Jazeera English,Palestine,Casualties,947
9,Al Jazeera English,Palestine,Displacement and Refugees,197
11,Al Jazeera English,Palestine,Imprisonment and Detention,142
8,Al Jazeera English,Palestine,"Deprivation, Malnutrition and Hunger",121
10,Al Jazeera English,Palestine,Health and Medical Conditions,100
14,Al Jazeera English,Palestine,Other Hardship,17
15,Al Jazeera English,Palestine,Vulnerable and Affected Groups,9
13,Al Jazeera English,Palestine,Missing,6
12,Al Jazeera English,Palestine,Inflicted upon others,1
3,Al Jazeera English,Israel,Imprisonment and Detention,130
0,Al Jazeera English,Israel,Casualties,124
5,Al Jazeera English,Israel,Other Hardship,23
4,Al Jazeera English,Israel,Missing,8
1,Al Jazeera English,Israel,Displacement and Refugees,6
6,Al Jazeera English,Israel,Vulnerable and Affected Groups,5
2,Al Jazeera English,Israel,Health and Medical Conditions,3
24,BBC,Palestine,Casualties,487
25,BBC,Palestine,"Deprivation, Malnutrition and Hunger",133
26,BBC,Palestine,Displacement and Refugees,119
27,BBC,Palestine,Health and Medical Conditions,69
28,BBC,Palestine,Imprisonment and Detention,37
30,BBC,Palestine,Other Hardship,10
31,BBC,Palestine,Vulnerable and Affected Groups,6
29,BBC,Palestine,Missing,2
16,BBC,Israel,Casualties,491
20,BBC,Israel,Imprisonment and Detention,428
21,BBC,Israel,Missing,54
22,BBC,Israel,Other Hardship,20
23,BBC,Israel,Vulnerable and Affected Groups,18
18,BBC,Israel,Displacement and Refugees,15
19,BBC,Israel,Health and Medical Conditions,12
17,BBC,Israel,"Deprivation, Malnutrition and Hunger",4
41,CNN Wire,Palestine,Casualties,384
43,CNN Wire,Palestine,Displacement and Refugees,102
42,CNN Wire,Palestine,"Deprivation, Malnutrition and Hunger",75
44,CNN Wire,Palestine,Health and Medical Conditions,66
46,CNN Wire,Palestine,Imprisonment and Detention,52
49,CNN Wire,Palestine,Other Hardship,16
50,CNN Wire,Palestine,Vulnerable and Affected Groups,12
48,CNN Wire,Palestine,Missing,8
47,CNN Wire,Palestine,Inflicted upon others,2
45,CNN Wire,Palestine,Humanitarian Aid and Dependence,1
32,CNN Wire,Israel,Casualties,367
36,CNN Wire,Israel,Imprisonment and Detention,216
34,CNN Wire,Israel,Displacement and Refugees,21
38,CNN Wire,Israel,Missing,19
35,CNN Wire,Israel,Health and Medical Conditions,14
39,CNN Wire,Israel,Other Hardship,14
40,CNN Wire,Israel,Vulnerable and Affected Groups,13
33,CNN Wire,Israel,"Deprivation, Malnutrition and Hunger",4
37,CNN Wire,Israel,Inflicted upon others,1
61,The New York Times,Palestine,Casualties,680
63,The New York Times,Palestine,Displacement and Refugees,232
62,The New York Times,Palestine,"Deprivation, Malnutrition and Hunger",175
64,The New York Times,Palestine,Health and Medical Conditions,79
65,The New York Times,Palestine,Imprisonment and Detention,62
69,The New York Times,Palestine,Vulnerable and Affected Groups,31
68,The New York Times,Palestine,Other Hardship,28
66,The New York Times,Palestine,Inflicted upon others,3
67,The New York Times,Palestine,Missing,1
51,The New York Times,Israel,Casualties,837
56,The New York Times,Israel,Imprisonment and Detention,559
59,The New York Times,Israel,Other Hardship,60
53,The New York Times,Israel,Displacement and Refugees,54
58,The New York Times,Israel,Missing,48
60,The New York Times,Israel,Vulnerable and Affected Groups,34
54,The New York Times,Israel,Health and Medical Conditions,30
52,The New York Times,Israel,"Deprivation, Malnutrition and Hunger",4
55,The New York Times,Israel,Humanitarian Aid and Dependence,1
57,The New York Times,Israel,Inflicted upon others,1
